Paisita 2 29-07-2022
1567
2751
3739

Paisita 1 01-08-2022
2557
1864
0420

Paisita 2 01-08-2022
2597
3349
4462

Antioquenita 2 12-11-2022
0235
1607
2557
3711
6822

Antioquenita 2 21-08-2024
3052

Antioquenita 2 11-09-2024
2079
7235

Antioquenita 2 13-09-2024
1814
6258

Antioquenita 2 24-09-2024
7565
0248

Antioquenita 2 26-09-2024
6427
0742

Antioquenita 2 09-10-2024
4891
5721

Antioquenita 2 29-01-2025
0830
1602
2230
2263
3118
4224
4710
4768
4918
6384

Antioquenita 2 27-02-2025
6071
6183
3817
4598
5382
2802
2915
1322
1877
0949

Antioquenita 2 21-03-2025
5016
1736
4837
4354
1174
0211
0176
0121
0093
0256

Antioquenita 2 14-08-2025
4068
6709
