      Antioquenita 1   '2017-05-12'   '2583'
      Antioquenita 1   '2017-05-13'   '3874'
      Antioquenita 1   '2017-05-14'   '1449'
      Antioquenita 1   '2017-05-15'   '1768'
      Antioquenita 1   '2017-05-16'   '6778'
      Antioquenita 1   '2017-05-17'   '0259'
      Antioquenita 1   '2017-05-18'   '6335'
      Antioquenita 1   '2017-05-19'   '4063'
      Antioquenita 1   '2017-05-20'   '0953'
      Antioquenita 1   '2017-05-21'   '4759'
      Antioquenita 1   '2017-05-22'   '3605'
      Antioquenita 1   '2017-05-23'   '3628'
      Antioquenita 1   '2017-05-24'   '9035'
      Antioquenita 1   '2017-05-25'   '7312'
      Antioquenita 1   '2017-05-26'   '2680'
      Antioquenita 1   '2017-05-27'   '1560'
      Antioquenita 1   '2017-05-28'   '0278'
      Antioquenita 1   '2017-05-29'   '2394'
      Antioquenita 1   '2017-05-30'   '5047'
      Antioquenita 1   '2017-05-31'   '0681'
      Antioquenita 1   '2017-06-01'   '3949'
      Antioquenita 1   '2017-06-02'   '6545'
      Antioquenita 1   '2017-06-03'   '7327'
      Antioquenita 1   '2017-06-04'   '9816'
      Antioquenita 1   '2017-06-05'   '5368'
      Antioquenita 1   '2017-06-06'   '4556'
      Antioquenita 1   '2017-06-07'   '6082'
      Antioquenita 1   '2017-06-08'   '7334'
      Antioquenita 1   '2017-06-09'   '4041'
      Antioquenita 1   '2017-06-10'   '5688'
      Antioquenita 1   '2017-06-11'   '6158'
      Antioquenita 1   '2017-06-12'   '5658'
      Antioquenita 1   '2017-06-13'   '1161'
      Antioquenita 1   '2017-06-14'   '5823'
      Antioquenita 1   '2017-06-15'   '8310'
      Antioquenita 1   '2017-06-16'   '4070'
      Antioquenita 1   '2017-06-17'   '6257'
      Antioquenita 1   '2017-06-18'   '9513'
      Antioquenita 1   '2017-06-19'   '8043'
      Antioquenita 1   '2017-06-20'   '9265'
      Antioquenita 1   '2017-06-21'   '0740'
      Antioquenita 1   '2017-06-22'   '9206'
      Antioquenita 1   '2017-06-23'   '0747'
      Antioquenita 1   '2017-06-24'   '9794'
      Antioquenita 1   '2017-06-25'   '0198'
      Antioquenita 1   '2017-06-26'   '5637'
      Antioquenita 1   '2017-06-27'   '0635'
      Antioquenita 1   '2017-06-28'   '2111'
      Antioquenita 1   '2017-06-29'   '6174'
      Antioquenita 1   '2017-06-30'   '3813'
      Antioquenita 1   '2017-07-01'   '1387'
      Antioquenita 1   '2017-07-02'   '6838'
      Antioquenita 1   '2017-07-03'   '3569'
      Antioquenita 1   '2017-07-04'   '8683'
      Antioquenita 1   '2017-07-05'   '6232'
      Antioquenita 1   '2017-07-06'   '7744'
      Antioquenita 1   '2017-07-07'   '0968'
      Antioquenita 1   '2017-07-08'   '7478'
      Antioquenita 1   '2017-07-09'   '0407'
      Antioquenita 1   '2017-07-10'   '7111'
      Antioquenita 1   '2017-07-11'   '6449'
      Antioquenita 1   '2017-07-12'   '2254'
      Antioquenita 1   '2017-07-13'   '8642'
      Antioquenita 1   '2017-07-14'   '2146'
      Antioquenita 1   '2017-07-15'   '5967'
      Antioquenita 1   '2017-07-16'   '4396'
      Antioquenita 1   '2017-07-17'   '4110'
      Antioquenita 1   '2017-07-18'   '4472'
