         Sinuano Dia   '2023-03-08'   '3332'
         Sinuano Dia   '2023-03-09'   '2662'
         Sinuano Dia   '2023-03-10'   '0618'
         Sinuano Dia   '2023-03-11'   '6784'
         Sinuano Dia   '2023-03-12'   '0712'
         Sinuano Dia   '2023-03-13'   '1189'
         Sinuano Dia   '2023-03-14'   '6688'
         Sinuano Dia   '2023-03-15'   '2589'
         Sinuano Dia   '2023-03-16'   '0047'
         Sinuano Dia   '2023-03-17'   '1949'
         Sinuano Dia   '2023-03-18'   '6344'
         Sinuano Dia   '2023-03-19'   '4882'
         Sinuano Dia   '2023-03-20'   '1617'
         Sinuano Dia   '2023-03-21'   '7477'
         Sinuano Dia   '2023-03-22'   '0537'
         Sinuano Dia   '2023-03-23'   '2588'
         Sinuano Dia   '2023-03-24'   '9691'
         Sinuano Dia   '2023-03-25'   '3155'
         Sinuano Dia   '2023-03-26'   '8874'
         Sinuano Dia   '2023-03-27'   '2004'
         Sinuano Dia   '2023-03-28'   '8115'
         Sinuano Dia   '2023-03-29'   '1632'
         Sinuano Dia   '2023-03-30'   '7761'
         Sinuano Dia   '2023-03-31'   '3608'
         Sinuano Dia   '2023-04-01'   '8889'
         Sinuano Dia   '2023-04-02'   '1201'
         Sinuano Dia   '2023-04-03'   '0447'
         Sinuano Dia   '2023-04-04'   '3945'
         Sinuano Dia   '2023-04-05'   '8582'
         Sinuano Dia   '2023-04-06'   '5921'
         Sinuano Dia   '2023-04-07'   '9857'
         Sinuano Dia   '2023-04-08'   '9178'
         Sinuano Dia   '2023-04-09'   '6773'
         Sinuano Dia   '2023-04-10'   '9682'
         Sinuano Dia   '2023-04-11'   '1912'
         Sinuano Dia   '2023-04-12'   '8571'
         Sinuano Dia   '2023-04-13'   '2476'
         Sinuano Dia   '2023-04-14'   '2330'
         Sinuano Dia   '2023-04-15'   '2934'
         Sinuano Dia   '2023-04-16'   '9107'
         Sinuano Dia   '2023-04-17'   '9732'
         Sinuano Dia   '2023-04-18'   '4975'
         Sinuano Dia   '2023-04-19'   '0665'
         Sinuano Dia   '2023-04-20'   '9453'
         Sinuano Dia   '2023-04-21'   '0161'
         Sinuano Dia   '2023-04-22'   '3249'
         Sinuano Dia   '2023-04-23'   '5529'
         Sinuano Dia   '2023-04-24'   '0614'
         Sinuano Dia   '2023-04-25'   '6448'
         Sinuano Dia   '2023-04-26'   '4909'
         Sinuano Dia   '2023-04-27'   '2313'
         Sinuano Dia   '2023-04-28'   '9722'
         Sinuano Dia   '2023-04-29'   '0576'
         Sinuano Dia   '2023-04-30'   '0991'
         Sinuano Dia   '2023-05-01'   '2708'
         Sinuano Dia   '2023-05-02'   '8569'
         Sinuano Dia   '2023-05-03'   '4575'
         Sinuano Dia   '2023-05-04'   '1138'
         Sinuano Dia   '2023-05-05'   '2755'
         Sinuano Dia   '2023-05-06'   '3475'
         Sinuano Dia   '2023-05-07'   '0616'
