             Quindio   '2013-01-03'   '5273'
             Quindio   '2013-01-10'   '1546'
             Quindio   '2013-01-17'   '5147'
             Quindio   '2013-01-24'   '3391'
             Quindio   '2013-01-31'   '9154'
             Quindio   '2013-02-07'   '6341'
             Quindio   '2013-02-14'   '0643'
             Quindio   '2013-02-21'   '4490'
             Quindio   '2013-02-28'   '1679'
             Quindio   '2013-03-07'   '7061'
             Quindio   '2013-03-14'   '7694'
             Quindio   '2013-03-21'   '1172'
            NOT FOR:   '2013-03-22'
            NOT FOR:   '2013-03-23'
            NOT FOR:   '2013-03-24'
            NOT FOR:   '2013-03-25'
            NOT FOR:   '2013-03-26'
            NOT FOR:   '2013-03-27'
            NOT FOR:   '2013-03-28'
            NOT FOR:   '2013-03-29'
            NOT FOR:   '2013-03-30'
            NOT FOR:   '2013-03-31'
            NOT FOR:   '2013-04-01'
            NOT FOR:   '2013-04-02'
            NOT FOR:   '2013-04-03'
             Quindio   '2013-04-04'   '9056'
             Quindio   '2013-04-11'   '1822'
             Quindio   '2013-04-18'   '5741'
             Quindio   '2013-04-25'   '2956'
             Quindio   '2013-05-02'   '4966'
             Quindio   '2013-05-09'   '6523'
             Quindio   '2013-05-16'   '7356'
             Quindio   '2013-05-23'   '4718'
             Quindio   '2013-05-30'   '8159'
             Quindio   '2013-06-06'   '5096'
             Quindio   '2013-06-13'   '2239'
             Quindio   '2013-06-20'   '3126'
             Quindio   '2013-06-27'   '2349'
             Quindio   '2013-07-04'   '5826'
             Quindio   '2013-07-11'   '4512'
             Quindio   '2013-07-18'   '6028'
             Quindio   '2013-07-25'   '1437'
             Quindio   '2013-08-01'   '4423'
             Quindio   '2013-08-08'   '4513'
             Quindio   '2013-08-15'   '2502'
             Quindio   '2013-08-22'   '3054'
             Quindio   '2013-08-29'   '4016'
             Quindio   '2013-09-05'   '0109'
             Quindio   '2013-09-12'   '6240'
             Quindio   '2013-09-19'   '1080'
             Quindio   '2013-09-26'   '5697'
             Quindio   '2013-10-03'   '6016'
             Quindio   '2013-10-10'   '8541'
             Quindio   '2013-10-17'   '9123'
             Quindio   '2013-10-24'   '6037'
             Quindio   '2013-10-31'   '8796'
             Quindio   '2013-11-07'   '1979'
             Quindio   '2013-11-14'   '7824'
             Quindio   '2013-11-21'   '7912'
             Quindio   '2013-11-28'   '8474'
             Quindio   '2013-12-05'   '4935'
             Quindio   '2013-12-12'   '5040'
             Quindio   '2013-12-19'   '8535'
             Quindio   '2013-12-26'   '2945'
             Quindio   '2014-01-02'   '7899'
             Quindio   '2014-01-09'   '2553'
             Quindio   '2014-01-16'   '2772'
             Quindio   '2014-01-23'   '3285'
             Quindio   '2014-01-30'   '9978'
             Quindio   '2014-02-06'   '1258'
             Quindio   '2014-02-13'   '9518'
             Quindio   '2014-02-20'   '6964'
             Quindio   '2014-02-27'   '0352'
             Quindio   '2014-03-06'   '3725'
             Quindio   '2014-03-13'   '4621'
             Quindio   '2014-03-20'   '6731'
             Quindio   '2014-03-27'   '4981'
             Quindio   '2014-04-03'   '9850'
             Quindio   '2014-04-10'   '2108'
            NOT FOR:   '2014-04-11'
            NOT FOR:   '2014-04-12'
            NOT FOR:   '2014-04-13'
            NOT FOR:   '2014-04-14'
            NOT FOR:   '2014-04-15'
            NOT FOR:   '2014-04-16'
            NOT FOR:   '2014-04-17'
            NOT FOR:   '2014-04-18'
            NOT FOR:   '2014-04-19'
            NOT FOR:   '2014-04-20'
            NOT FOR:   '2014-04-21'
            NOT FOR:   '2014-04-22'
            NOT FOR:   '2014-04-23'
             Quindio   '2014-04-24'   '9971'
             Quindio   '2014-05-02'   '1295'
             Quindio   '2014-05-08'   '0695'
             Quindio   '2014-05-15'   '8526'
             Quindio   '2014-05-22'   '6690'
             Quindio   '2014-05-29'   '2741'
             Quindio   '2014-06-05'   '4665'
             Quindio   '2014-06-12'   '9211'
             Quindio   '2014-06-19'   '2287'
             Quindio   '2014-06-26'   '1717'
             Quindio   '2014-07-03'   '4515'
             Quindio   '2014-07-10'   '4837'
             Quindio   '2014-07-17'   '5195'
             Quindio   '2014-07-24'   '2534'
             Quindio   '2014-07-31'   '9848'
             Quindio   '2014-08-08'   '3437'
             Quindio   '2014-08-14'   '2048'
             Quindio   '2014-08-21'   '6425'
             Quindio   '2014-08-28'   '1804'
             Quindio   '2014-09-04'   '8362'
             Quindio   '2014-09-11'   '3303'
             Quindio   '2014-09-18'   '1399'
             Quindio   '2014-09-25'   '5249'
             Quindio   '2014-10-02'   '6777'
             Quindio   '2014-10-09'   '7422'
             Quindio   '2014-10-16'   '2867'
             Quindio   '2014-10-23'   '0847'
             Quindio   '2014-10-30'   '0663'
             Quindio   '2014-11-06'   '9922'
             Quindio   '2014-11-13'   '6764'
             Quindio   '2014-11-20'   '7258'
             Quindio   '2014-11-27'   '4681'
             Quindio   '2014-12-04'   '4292'
             Quindio   '2014-12-11'   '1645'
             Quindio   '2014-12-18'   '9945'
             Quindio   '2014-12-26'   '0594'
            NOT FOR:   '2014-12-27'
            NOT FOR:   '2014-12-28'
            NOT FOR:   '2014-12-29'
            NOT FOR:   '2014-12-30'
            NOT FOR:   '2014-12-31'
            NOT FOR:   '2015-01-01'
            NOT FOR:   '2015-01-02'
            NOT FOR:   '2015-01-03'
            NOT FOR:   '2015-01-04'
            NOT FOR:   '2015-01-05'
            NOT FOR:   '2015-01-06'
            NOT FOR:   '2015-01-07'
             Quindio   '2015-01-08'   '4579'
             Quindio   '2015-01-15'   '6599'
             Quindio   '2015-01-22'   '2621'
             Quindio   '2015-01-29'   '5132'
             Quindio   '2015-02-05'   '3512'
             Quindio   '2015-02-12'   '3744'
             Quindio   '2015-02-19'   '1455'
             Quindio   '2015-02-26'   '9844'
             Quindio   '2015-03-05'   '3491'
             Quindio   '2015-03-12'   '0792'
             Quindio   '2015-03-19'   '8189'
             Quindio   '2015-03-26'   '6752'
            NOT FOR:   '2015-03-27'
            NOT FOR:   '2015-03-28'
            NOT FOR:   '2015-03-29'
            NOT FOR:   '2015-03-30'
            NOT FOR:   '2015-03-31'
            NOT FOR:   '2015-04-01'
            NOT FOR:   '2015-04-02'
            NOT FOR:   '2015-04-03'
            NOT FOR:   '2015-04-04'
            NOT FOR:   '2015-04-05'
            NOT FOR:   '2015-04-06'
            NOT FOR:   '2015-04-07'
            NOT FOR:   '2015-04-08'
             Quindio   '2015-04-09'   '6852'
             Quindio   '2015-04-16'   '7971'
             Quindio   '2015-04-23'   '9460'
             Quindio   '2015-04-30'   '2090'
             Quindio   '2015-05-07'   '6102'
             Quindio   '2015-05-14'   '9166'
             Quindio   '2015-05-21'   '4250'
             Quindio   '2015-05-28'   '8101'
             Quindio   '2015-06-04'   '0206'
             Quindio   '2015-06-11'   '5145'
             Quindio   '2015-06-18'   '2137'
             Quindio   '2015-06-25'   '8837'
             Quindio   '2015-07-02'   '0365'
             Quindio   '2015-07-09'   '8643'
             Quindio   '2015-07-16'   '8497'
             Quindio   '2015-07-23'   '5470'
             Quindio   '2015-07-30'   '5347'
             Quindio   '2015-08-06'   '8737'
             Quindio   '2015-08-13'   '7653'
             Quindio   '2015-08-20'   '4116'
             Quindio   '2015-08-27'   '1502'
             Quindio   '2015-09-03'   '8989'
             Quindio   '2015-09-10'   '8705'
             Quindio   '2015-09-17'   '0421'
             Quindio   '2015-09-24'   '2984'
             Quindio   '2015-10-01'   '5542'
             Quindio   '2015-10-08'   '6618'
             Quindio   '2015-10-15'   '0010'
             Quindio   '2015-10-22'   '8814'
             Quindio   '2015-10-29'   '2854'
             Quindio   '2015-11-05'   '7134'
             Quindio   '2015-11-12'   '1177'
             Quindio   '2015-11-19'   '6814'
             Quindio   '2015-11-26'   '0740'
             Quindio   '2015-12-03'   '5844'
             Quindio   '2015-12-10'   '9290'
             Quindio   '2015-12-17'   '3680'
             Quindio   '2015-12-24'   '8195'
             Quindio   '2015-12-31'   '6518'
             Quindio   '2016-01-07'   '4013'
             Quindio   '2016-01-14'   '7688'
             Quindio   '2016-01-21'   '2662'
             Quindio   '2016-01-28'   '2982'
             Quindio   '2016-02-04'   '9205'
             Quindio   '2016-02-11'   '4071'
             Quindio   '2016-02-18'   '0886'
             Quindio   '2016-02-25'   '3650'
             Quindio   '2016-03-03'   '9247'
             Quindio   '2016-03-10'   '3830'
             Quindio   '2016-03-17'   '4114'
            NOT FOR:   '2016-03-18'
            NOT FOR:   '2016-03-19'
            NOT FOR:   '2016-03-20'
            NOT FOR:   '2016-03-21'
            NOT FOR:   '2016-03-22'
            NOT FOR:   '2016-03-23'
            NOT FOR:   '2016-03-24'
            NOT FOR:   '2016-03-25'
            NOT FOR:   '2016-03-26'
            NOT FOR:   '2016-03-27'
            NOT FOR:   '2016-03-28'
            NOT FOR:   '2016-03-29'
            NOT FOR:   '2016-03-30'
             Quindio   '2016-03-31'   '2194'
             Quindio   '2016-04-07'   '7367'
             Quindio   '2016-04-14'   '4724'
             Quindio   '2016-04-21'   '4641'
             Quindio   '2016-04-28'   '7355'
             Quindio   '2016-05-05'   '1431'
             Quindio   '2016-05-12'   '3868'
             Quindio   '2016-05-19'   '4811'
             Quindio   '2016-05-26'   '1445'
             Quindio   '2016-06-02'   '8816'
             Quindio   '2016-06-09'   '5741'
             Quindio   '2016-06-16'   '4417'
             Quindio   '2016-06-23'   '8022'
             Quindio   '2016-06-30'   '3035'
             Quindio   '2016-07-07'   '7752'
             Quindio   '2016-07-14'   '2491'
             Quindio   '2016-07-21'   '2801'
             Quindio   '2016-07-28'   '4379'
             Quindio   '2016-08-04'   '1209'
             Quindio   '2016-08-11'   '2617'
             Quindio   '2016-08-18'   '2111'
             Quindio   '2016-08-25'   '4271'
             Quindio   '2016-09-01'   '2863'
             Quindio   '2016-09-08'   '8930'
             Quindio   '2016-09-15'   '2563'
             Quindio   '2016-09-22'   '8948'
             Quindio   '2016-09-29'   '2444'
             Quindio   '2016-10-06'   '4735'
             Quindio   '2016-10-13'   '0547'
             Quindio   '2016-10-20'   '2758'
             Quindio   '2016-10-27'   '4334'
             Quindio   '2016-11-03'   '7446'
             Quindio   '2016-11-10'   '8986'
             Quindio   '2016-11-17'   '1939'
             Quindio   '2016-11-24'   '0784'
             Quindio   '2016-12-01'   '1508'
             Quindio   '2016-12-06'   '8185'
             Quindio   '2016-12-15'   '8890'
             Quindio   '2016-12-22'   '2095'
             Quindio   '2016-12-29'   '1967'
             Quindio   '2017-01-05'   '5351'
             Quindio   '2017-01-12'   '5888'
             Quindio   '2017-01-19'   '0648'
             Quindio   '2017-01-26'   '7193'
             Quindio   '2017-02-02'   '2019'
             Quindio   '2017-02-09'   '3624'
             Quindio   '2017-02-16'   '6078'
             Quindio   '2017-02-23'   '1274'
             Quindio   '2017-03-02'   '1362'
             Quindio   '2017-03-09'   '2933'
             Quindio   '2017-03-16'   '3420'
             Quindio   '2017-03-23'   '0909'
             Quindio   '2017-03-30'   '4029'
             Quindio   '2017-04-06'   '8604'
             Quindio   '2017-04-11'   '4215'
             Quindio   '2017-04-20'   '0463'
             Quindio   '2017-04-27'   '2430'
             Quindio   '2017-05-04'   '6256'
             Quindio   '2017-05-11'   '4844'
             Quindio   '2017-05-18'   '2205'
             Quindio   '2017-05-25'   '7378'
             Quindio   '2017-06-01'   '4154'
             Quindio   '2017-06-08'   '5329'
             Quindio   '2017-06-15'   '2600'
             Quindio   '2017-06-22'   '2816'
             Quindio   '2017-06-29'   '2708'
             Quindio   '2017-07-06'   '6945'
             Quindio   '2017-07-13'   '7323'
             Quindio   '2017-07-18'   '6387'
             Quindio   '2017-07-27'   '4915'
             Quindio   '2017-08-03'   '9934'
             Quindio   '2017-08-10'   '6151'
             Quindio   '2017-08-17'   '2576'
             Quindio   '2017-08-24'   '6668'
             Quindio   '2017-08-31'   '3385'
             Quindio   '2017-09-07'   '3400'
             Quindio   '2017-09-14'   '0785'
             Quindio   '2017-09-21'   '8133'
             Quindio   '2017-09-28'   '1663'
             Quindio   '2017-10-05'   '5864'
             Quindio   '2017-10-12'   '0853'
             Quindio   '2017-10-19'   '0397'
             Quindio   '2017-10-26'   '1751'
             Quindio   '2017-11-02'   '6311'
             Quindio   '2017-11-09'   '0000'
             Quindio   '2017-11-16'   '8401'
             Quindio   '2017-11-23'   '9931'
             Quindio   '2017-11-30'   '2548'
             Quindio   '2017-12-07'   '1924'
             Quindio   '2017-12-14'   '0102'
             Quindio   '2017-12-21'   '7172'
             Quindio   '2017-12-28'   '5263'
             Quindio   '2018-01-04'   '0648'
