              Tolima   '2013-01-08'   '0588'
              Tolima   '2013-01-14'   '7687'
              Tolima   '2013-01-21'   '6705'
              Tolima   '2013-01-28'   '8560'
              Tolima   '2013-02-04'   '3509'
              Tolima   '2013-02-11'   '6829'
              Tolima   '2013-02-18'   '5688'
              Tolima   '2013-02-25'   '7697'
              Tolima   '2013-03-04'   '1155'
              Tolima   '2013-03-11'   '9020'
              Tolima   '2013-03-18'   '4164'
              Tolima   '2013-03-26'   '4231'
              Tolima   '2013-04-01'   '9178'
              Tolima   '2013-04-08'   '6202'
              Tolima   '2013-04-15'   '0462'
              Tolima   '2013-04-22'   '9494'
              Tolima   '2013-04-29'   '7777'
              Tolima   '2013-05-06'   '3987'
              Tolima   '2013-05-14'   '0952'
              Tolima   '2013-05-20'   '6715'
              Tolima   '2013-05-27'   '7039'
              Tolima   '2013-06-04'   '5905'
              Tolima   '2013-06-11'   '1949'
              Tolima   '2013-06-17'   '0844'
              Tolima   '2013-06-24'   '7389'
              Tolima   '2013-07-02'   '8126'
              Tolima   '2013-07-08'   '3795'
              Tolima   '2013-07-15'   '4381'
              Tolima   '2013-07-22'   '9574'
              Tolima   '2013-07-29'   '1507'
              Tolima   '2013-08-05'   '3761'
              Tolima   '2013-08-12'   '5495'
              Tolima   '2013-08-20'   '2584'
              Tolima   '2013-08-26'   '3375'
              Tolima   '2013-09-02'   '6892'
              Tolima   '2013-09-09'   '2064'
              Tolima   '2013-09-16'   '4819'
              Tolima   '2013-09-23'   '1332'
              Tolima   '2013-09-30'   '4907'
              Tolima   '2013-10-07'   '2882'
              Tolima   '2013-10-15'   '0761'
              Tolima   '2013-10-21'   '3198'
              Tolima   '2013-10-28'   '6567'
              Tolima   '2013-11-05'   '7048'
              Tolima   '2013-11-12'   '7893'
              Tolima   '2013-11-18'   '1842'
              Tolima   '2013-11-25'   '2708'
              Tolima   '2013-12-02'   '7511'
              Tolima   '2013-12-09'   '9497'
              Tolima   '2013-12-16'   '8985'
              Tolima   '2013-12-23'   '1082'
              Tolima   '2013-12-30'   '0942'
              Tolima   '2014-01-07'   '2365'
