            NOT FOR:   '2015-01-03'
            NOT FOR:   '2015-01-04'
            NOT FOR:   '2015-01-05'
            NOT FOR:   '2015-01-06'
            NOT FOR:   '2015-01-07'
              Bogotá   '2015-01-08'   '8043'
              Bogotá   '2015-01-15'   '1187'
              Bogotá   '2015-01-22'   '7574'
              Bogotá   '2015-01-29'   '5913'
              Bogotá   '2015-02-05'   '9522'
              Bogotá   '2015-02-12'   '2562'
              Bogotá   '2015-02-19'   '4417'
              Bogotá   '2015-02-26'   '4509'
              Bogotá   '2015-03-05'   '5969'
              Bogotá   '2015-03-12'   '7687'
              Bogotá   '2015-03-19'   '1888'
              Bogotá   '2015-03-26'   '0685'
              Bogotá   '2015-04-01'   '2796'
              Bogotá   '2015-04-09'   '4412'
              Bogotá   '2015-04-16'   '7132'
              Bogotá   '2015-04-23'   '0064'
              Bogotá   '2015-04-30'   '3776'
              Bogotá   '2015-05-07'   '6928'
              Bogotá   '2015-05-14'   '6534'
              Bogotá   '2015-05-21'   '7200'
              Bogotá   '2015-05-28'   '9536'
              Bogotá   '2015-06-04'   '3230'
              Bogotá   '2015-06-11'   '0656'
              Bogotá   '2015-06-18'   '1902'
              Bogotá   '2015-06-25'   '2777'
              Bogotá   '2015-07-02'   '2877'
              Bogotá   '2015-07-09'   '0296'
              Bogotá   '2015-07-16'   '2235'
              Bogotá   '2015-07-23'   '4559'
              Bogotá   '2015-07-30'   '9030'
              Bogotá   '2015-08-06'   '4158'
              Bogotá   '2015-08-13'   '5162'
              Bogotá   '2015-08-20'   '3788'
              Bogotá   '2015-08-27'   '3562'
              Bogotá   '2015-09-03'   '2385'
              Bogotá   '2015-09-10'   '6090'
              Bogotá   '2015-09-17'   '8373'
              Bogotá   '2015-09-24'   '6862'
              Bogotá   '2015-10-01'   '3915'
              Bogotá   '2015-10-08'   '2748'
              Bogotá   '2015-10-15'   '0314'
              Bogotá   '2015-10-22'   '4965'
              Bogotá   '2015-10-29'   '8303'
              Bogotá   '2015-11-05'   '3357'
              Bogotá   '2015-11-12'   '0063'
              Bogotá   '2015-11-19'   '7664'
              Bogotá   '2015-11-26'   '1983'
              Bogotá   '2015-12-03'   '9136'
              Bogotá   '2015-12-10'   '3434'
              Bogotá   '2015-12-17'   '0085'
              Bogotá   '2015-12-24'   '5951'
              Bogotá   '2015-12-31'   '2701'
              Bogotá   '2016-01-07'   '1275'
              Bogotá   '2016-01-14'   '6713'
              Bogotá   '2016-01-21'   '6443'
              Bogotá   '2016-01-28'   '7888'
              Bogotá   '2016-02-04'   '4958'
              Bogotá   '2016-02-11'   '9367'
              Bogotá   '2016-02-18'   '7649'
              Bogotá   '2016-02-25'   '7633'
              Bogotá   '2016-03-03'   '2859'
              Bogotá   '2016-03-10'   '4200'
              Bogotá   '2016-03-17'   '7472'
            NOT FOR:   '2016-03-18'
            NOT FOR:   '2016-03-19'
            NOT FOR:   '2016-03-20'
            NOT FOR:   '2016-03-21'
            NOT FOR:   '2016-03-22'
            NOT FOR:   '2016-03-23'
            NOT FOR:   '2016-03-24'
            NOT FOR:   '2016-03-25'
            NOT FOR:   '2016-03-26'
            NOT FOR:   '2016-03-27'
            NOT FOR:   '2016-03-28'
            NOT FOR:   '2016-03-29'
            NOT FOR:   '2016-03-30'
              Bogotá   '2016-03-31'   '5098'
              Bogotá   '2016-04-07'   '0620'
              Bogotá   '2016-04-14'   '3065'
              Bogotá   '2016-04-21'   '3616'
              Bogotá   '2016-04-28'   '9289'
              Bogotá   '2016-05-05'   '9211'
              Bogotá   '2016-05-12'   '9037'
              Bogotá   '2016-05-19'   '9118'
              Bogotá   '2016-05-26'   '1307'
